Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_generateQRLaundry,,,,2019-11-28 13:59:58,2019-11-28 14:00:01,3.456s,INCOMPLETE
,,,,,,,
Test Cases/E_Wallet/TC_generateQRNew/TC_generateQRLaundry/TC_generateQRLaundry,,,,2019-11-28 13:59:58,2019-11-28 14:00:01,3.248s,ERROR
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"chip_id"":"""" + var_chip_id + """","" + """"raspberry_id"":"""" + var_raspberry_id + """","" + """"action"":"""" + var_action + """","" + """"pixel_size"":"""" + var_pixel_size + """"}""",,,,2019-11-28 13:59:59,2019-11-28 13:59:59,0.003s,PASSED
out.println(plain),,,,2019-11-28 13:59:59,2019-11-28 13:59:59,0.009s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-11-28 13:59:59,2019-11-28 14:00:00,1.018s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.003s,PASSED
out.println(body),,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.001s,PASSED
"header1 = new com.kms.katalon.core.testobject.TestObjectProperty(partner-token, com.kms.katalon.core.testobject.ConditionType.EQUALS, var_partner_token)",,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.012s,PASSED
"header2 = new com.kms.katalon.core.testobject.TestObjectProperty(Content-Type, com.kms.katalon.core.testobject.ConditionType.EQUALS, application/json)",,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.002s,PASSED
"defaultHeaders = Arrays.asList(header1, header2)",,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.009s,PASSED
"request = findTestObject(""E_Wallet/obj_generateQRLaundry"")",,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.043s,PASSED
request.setHttpHeaderProperties(defaultHeaders),,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.007s,PASSED
println(hostname),,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.003s,PASSED
println(request.getRestUrl()),,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.002s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-11-28 14:00:00,2019-11-28 14:00:00,0.005s,PASSED
response = sendRequest(request),,,,2019-11-28 14:00:00,2019-11-28 14:00:01,1.055s,PASSED
body_content = responseBodyContent,,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.010s,PASSED
status_code = statusCode,,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.020s,PASSED
out.println(respDataMap),,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.002s,PASSED
println(body_content),,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.001s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.017s,PASSED
out.println(var_expected_rc),,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.003s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.002s,PASSED
"result = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.024s,PASSED
if (result == false),,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.000s,PASSED
else,,,,2019-11-28 14:00:01,2019-11-28 14:00:01,0.251s,PASSED
